,Name,Address,Zip,lat,lon
108,Highland Park Community Center (Hillcrest Rec),1978 Ford Pkwy,55116,44.9178428396795,-93.18388820579528
109,Montreal High Rise,1085 Montreal Ave,55116,44.912519,-93.14593137019035
110,St. Luke Lutheran Church,1807 Field Ave,55116,44.90266,-93.17560488732394
111,Macalester/Plymouth United Church,1658 Lincoln Ave,55105,44.938848,-93.170117
112,Gloria Dei Lutheran Church,700 Snelling Ave S,55116,44.920518,-93.166909
113,Gloria Dei Lutheran Church,700 Snelling Ave S,55116,44.920518,-93.166909
114,Highland Park Senior High School,1015 Snelling Ave S,55116,44.910863,-93.165228
115,Jie Ming Academy,1845 Sheridan Ave W,55116,44.902164,-93.178955
116,Awaken Community Church,506 View St,55102,44.92608469230769,-93.13297107692308
117,Edgcumbe Recreation Center,320 Griggs St S,55105,44.932096306122446,-93.15159520408164
118,Luther Sem. Olson Campus Cntr,1490 Fulham St,55108,44.9854546,-93.1968009
119,Langford Recreation Center,30 Langford Park,55108,44.9762957,-93.195179215625
120,Seal High Rise,825 Seal St,55114,44.9657301,-93.1966717
121,Merriam Park Recreation Center,2000 St Anthony Ave,55104,44.953134,-93.185527
122,McNeely Hall- St. Thomas University,2060 Summit Ave,55105,44.941759,-93.186325
123,Hidden River Middle School,1700 Summit,55105,44.94072920000001,-93.17216478751592
124,LEAP High School,631 Albert St N,55104,44.960651,-93.159645
125,Hancock School Recreation Center,1610 Hubbard Ave,55104,44.964764,-93.167813
126,Bethlehem Lutheran Church in the Midway,436 Roy St N,55104,44.954642,-93.168163
127,Como Park-Streetcar Station,1224 Lexington Pkwy N,55103,44.97610689583333,-93.14642814583334
128,Hamline High Rise,777 Hamline Ave N,55104,44.964633,-93.157568
129,Groveland Recreation Center,2021 St Clair Ave,55105,44.934402793103445,-93.1857691724138
130,Holy Childhood Church,1435 Midway Pkwy,55108,44.9810368634848,-93.15856113620218
131,North Dale Recreation Center,1414 St Albans St N,55117,44.9837392,-93.12814516634708
132,North Dale Recreation Center,1414 St Albans St N,55117,44.9837392,-93.12814516634708
133,Front Ave High Rise,727 Front Ave,55103,44.97066145,-93.13073678036108
134,Washington Technology School,1495 Rice St,55117,44.9870921,-93.1110707
135,McDonough Community Center,1544 Timberlake Rd,55117,44.988043125,-93.0931990625
136,Saint Bernard-Parish Hall,147 Geranium Ave W,55117,44.975752,-93.106223
137,Mosaic Christian Community,540 Wheelock Pkwy,55130,44.986606,-93.078384
138,Arlington Hills Community Center,E 1200 Payne Ave,55130,44.973302,-93.08241
139,St. Patrick’s of St. Paul,1095 Desoto Street,55130,44.9743363,-93.081261
140,Holy Childhood Church,1435 Midway Pkwy,55108,44.9810368634848,-93.15856113620218
141,Hmong Language & Culture Mid. Sch. at Parkway,1363 Bush Ave,55106,44.9654459,-93.04302520780791
142,First Covenant Church,1280 Arcade St,55106,44.979949473684215,-93.06586773684212
143,Our Redeemer Lutheran Church,1390 Larpenteur Ave,55109,44.99166,-93.042075
144,Divinity Lutheran Church,1655 Cottage Ave E,55106,44.983072,-93.030628
145,Duluth-Case Recreation Center,1020 Duluth St,55106,44.972475,-93.05063128571427
146,Edgerton High Rise,1000 Edgerton St,55130,44.97111,-93.0748752
147,Hope Community Academy,720 Payne Ave,55130,44.9627675,-93.0734389
148,Boys and Girls Club,1620 Ames Ave,55106,44.973837,-93.031907
149,Hazel Park Academy,1140 White Bear Ave N,55106,44.976155,-93.02379505
150,Iowa High Rise,1743 Iowa Ave E,55106,44.98959,-93.026705
151,Hayden Heights Recreation Center,1965 Hoyt Ave E,55119,44.98843263636363,-93.01704972727272
152,Dayton’s Bluff Recreation Center,800 Conway St,55106,44.955742,-93.065686
153,Hazel Park Recreation Center,945 Hazel St N,55119,44.969949,-93.020884
154,Our Saviour’s Lutheran Church,674 Johnson Pkwy,55106,44.96182068157162,-93.04553336066505
155,Mounds Park United Methodist Church,1049 Euclid St,55106,44.955217,-93.056197
156,Mounds Theater,1029 Hudson Rd,55106,44.95250525,-93.056965475
157,East Side Community Center,1526 6th St E,55106,44.959821,-93.035777
158,Wilson High Rise,1300 Wilson Ave,55106,44.954007,-93.045755
159,Progressive Baptist Church,1505 Burns Ave,55106,44.94885526027397,-93.03561231506848
160,Hazel Park Congregational Church,1831 Minnehaha Ave E,55119,44.9631614137931,-93.0231725862069
161,Eastern Heights Elementary School,2001 Margaret St,55119,44.961786,-93.016148
162,Conway Recreation Center,2090 Conway Ave,55119,44.9558881,-92.9946598
163,Battle Creek Recreation Center,75 Winthrop St S,55119,44.938508,-93.012524
164,Highwood Hills Elementary School,2188 Londin Ln,55119,44.92898335,-93.00798515266364
165,Columbia Manor/Golf Club,3300 Central Ave NE,55418,45.031113,-93.247525
166,River Village,2919 Randolph St NE,55418,45.021011,-93.27075
167,East Side Neighborhood Services,1700 2nd St NE,55413,45.005902,-93.267491
168,Edison High School (Gym lobby),2030 Monroe St NE,55418,45.00905,-93.253623
169,Waite Park Recreation Center,1810 34th Ave NE,55418,45.030327,-93.23435653061225
170,Audubon Park Recreation Center,1320 29th Ave NE,55418,45.020342612244896,-93.2405722244898
171,Gustavus Adolphus Lutheran Church,1509 27th Ave NE,55418,45.01689632653061,-93.23815440816327
172,Holland Highrise,1717 Washington St NE,55413,45.005731,-93.256896
173,Northeast Park Recreation Center,1530 Johnson St NE,55413,45.002705418734045,-93.23735183563527
174,Windom Park NE Recreation Center,2251 Hayes St NE,55418,45.0132548,-93.234352
175,Van Cleve Park Rec Ctr (Gym),901 15th Ave SE WARD 2,55414,44.986591,-93.231207
176,University Lutheran Church of Hope,601 13th Ave SE,55414,44.98307945956479,-93.23551474017296
178,Van Cleve Park Rec Ctr (Multipurpose),901 15th Ave SE,55414,44.985448706675804,-93.23038343342124
179,Weisman Museum,333 River Parkway E,55455,44.973099,-93.237038
180,Pratt Community School,66 Malcolm Ave SE,55414,44.968673176078724,-93.21441177850618
181,Grace University Lutheran Church,324 Harvard St SE,55414,44.97334656232648,-93.23030783636598
182,Augsburg University Christensen Center,720 22nd Ave S,55454,44.966407387755105,-93.241014
183,Matthews Park Recreation Center,2318 29th Ave S,55406,44.958890636363634,-93.22999272727273
184,St. Frances Cabrini Church,1500 Franklin Ave SE WARD 3,55414,44.964276,-93.217491
185,Grain Belt Bottling House,79 13th Ave NE,55413,44.999845,-93.271086
186,Webster Elementary School,425 5th St NE,55413,44.994038,-93.256407
187,Spring Manor Highrise,828 Spring St NE,55413,44.994694,-93.249743
188,National Guard Armory,1025 Broadway St NE,55413,44.999187,-93.244203
189,Twin Cities International School,277 12th Ave N,55401,44.989196,-93.282841
190,Neu Neu Event Center,514 3rd St N,55401,44.98550485714286,-93.27608
191,Machine Shop,300 2nd St SE,55414,44.98460630439469,-93.25251510983468
192,Marcy Open School,415 4th Ave SE,55414,44.98625874954813,-93.24973854480167
193,First Congregational Church of MN,500 8th Ave SE,55414,44.984862983347575,-93.24325860786172
